,price,neighborhood,parking,balconies,buildingMR,TotalFloors,asset_classification,rooms,floor,shelter,on_pillars,elevator,storeroom,lat,long,home_number,buildyear,Distance_From_Sea,year
95,3350000,31,0,2,62,2.0,2,4,1,0,0,0,0,178716.0,662796.0,40.0,2006,1760,2023
96,6500000,17,0,2,125,4.0,3,5,1,0,1,1,0,179176.0,665390.0,69.0,1961,1270,2023
97,5250000,19,0,0,77,6.0,3,3,6,0,1,1,0,178472.0,664619.0,4.0,1970,798,2023
98,3600000,11,1,1,55,4.0,3,4,4,0,1,1,0,179244.0,665866.0,9.0,1945,1163,2023
99,3390000,34,0,0,68,3.0,2,2,3,0,1,0,0,180642.0,663461.0,52.0,1965,3603,2023
100,5000000,33,2,0,100,28.0,3,3,20,1,0,1,1,180931.0,666073.0,1.0,2010,2920,2023
101,3300000,22,1,1,60,6.0,1,3,1,1,1,1,0,178769.0,662677.0,67.0,1994,1864,2023
102,3300000,25,1,0,84,8.0,2,4,2,0,0,1,0,177918.0,661074.0,1.0,1970,1549,2023
103,3000000,8,1,1,76,12.0,1,3,2,0,1,1,0,180457.0,668837.0,14.0,2014,1349,2023
104,3000000,40,0,1,74,4.0,2,3,4,0,1,0,0,176441.0,659838.0,7.0,1973,414,2023
105,4470000,1,1,0,96,5.0,2,4,1,1,0,1,0,183341.0,668454.0,81.0,1980,4636,2023
106,9150000,27,1,0,190,15.0,3,6,10,1,1,1,0,181107.0,669386.0,40.0,2010,1848,2023
107,5250000,10,1,1,92,8.0,1,3,5,1,1,1,1,179766.0,666309.0,9.0,2022,1562,2023
108,2375000,15,0,0,70,4.0,2,3,3,0,1,0,0,177261.0,660203.0,10.0,1962,1167,2023
109,4000000,25,1,1,98,4.0,2,4,1,1,1,0,1,178080.0,661121.0,25.0,1971,1708,2023
110,3700000,7,0,0,120,2.0,3,5,2,0,1,0,1,179607.0,661373.0,9.0,1950,3273,2023
111,3150000,19,0,3,80,4.0,2,3,2,0,0,0,0,179254.0,663860.0,8.0,2020,1939,2023
112,3100000,25,1,2,140,7.0,2,5,5,1,0,1,1,178078.0,660684.0,31.0,1973,1873,2023
113,4000000,8,2,1,125,13.0,1,5,6,1,1,1,0,180426.0,668834.0,10.0,2014,1317,2023
114,5800000,42,1,1,72,42.0,1,3,32,1,0,1,0,179807.0,664598.0,13.0,1950,2260,2023
115,2718000,22,0,1,65,4.0,5,2,0,0,0,0,0,178954.0,662569.0,38.0,1964,2106,2023
116,2450000,21,0,0,43,2.0,6,2,2,0,1,0,0,179010.0,661823.0,8.0,1950,2451,2023
117,2865000,6,1,1,89,4.0,2,4,2,0,1,1,0,181737.0,661484.0,149.0,1980,5549,2023
118,5850000,12,2,1,120,9.0,6,4,2,1,1,1,1,180165.0,668965.0,11.0,2011,982,2023
119,5100000,43,1,2,97,10.0,6,4,3,1,0,1,1,185083.0,669573.0,19.0,2020,6107,2023
120,3150000,21,1,0,70,7.0,2,3,5,0,1,1,0,179568.0,661961.0,14.0,1975,3006,2023
121,2490000,25,1,0,60,4.0,2,3,1,0,0,0,1,178167.0,661007.0,8.0,2001,1845,2023
122,2850000,34,0,0,80,2.0,2,3,2,0,1,0,0,179917.0,662490.0,3.0,2003,3184,2023
123,3300000,34,1,1,65,30.0,1,2,28,0,0,1,0,180116.0,663031.0,4.0,1950,3194,2023
124,2800000,40,0,2,94,7.0,5,4,4,1,0,1,0,176530.0,660433.0,171.0,2022,284,2023
125,2400000,44,0,0,36,2.0,3,2,1,0,0,0,0,180057.0,662111.0,9.0,1947,3481,2023
126,3000050,22,0,0,360,3.0,2,0,0,1,0,0,1,179207.0,662969.0,1.0,1964,2228,2023
127,4850000,19,1,1,77,6.0,3,3,4,0,1,1,0,178472.0,664619.0,4.0,1970,798,2023
128,3800000,44,1,1,200,2.0,3,5,2,1,0,0,0,181041.0,661822.0,16.0,1996,4663,2023
129,9700000,13,2,1,245,4.0,2,5,2,1,0,1,1,184484.0,670365.0,31.0,2016,5153,2023
130,2300000,22,1,1,56,5.0,6,2,2,1,0,1,0,179379.0,662712.0,59.0,2021,2514,2023
131,3200000,36,0,0,100,4.0,3,3,2,0,1,0,0,177509.0,661806.0,5.0,1970,824,2023
132,5900000,17,0,1,96,4.0,3,3,1,0,1,0,0,179357.0,664980.0,41.0,1942,1624,2023
133,8300000,45,0,1,230,2.0,2,6,2,1,0,0,0,181208.0,668145.0,30.0,1950,2431,2023
134,7950000,18,1,1,118,16.0,1,4,9,0,1,1,1,181502.0,670067.0,9.0,2015,2018,2023
135,2200000,44,0,1,70,2.0,3,3,1,0,0,0,0,180605.0,662274.0,4.0,1950,4016,2023
136,4700000,28,1,0,1,7.0,3,5,1,0,1,1,0,181091.0,665045.0,15.0,1970,3486,2023
137,5100000,26,1,1,115,30.0,3,4,15,1,1,1,1,180887.0,663989.0,17.0,2012,3668,2023
