,price,neighborhood,parking,balconies,buildingMR,TotalFloors,asset_classification,rooms,floor,shelter,on_pillars,elevator,storeroom,lat,long,home_number,buildyear,Distance_From_Sea,year
0,3250000,0,1,1,102,18.0,6,3,5,1,0,1,1,180839.0,661251.0,57.0,2019,4661,2023
1,4890000,1,0,1,200,1.0,2,4,0,0,0,0,0,183044.0,668361.0,53.0,2016,4349,2023
2,16700000,2,2,1,230,12.0,1,5,11,1,1,1,1,180140.0,667737.0,28.0,2021,1424,2023
3,8300000,3,1,1,165,8.0,2,6,3,0,0,1,1,181703.0,670131.0,17.0,1969,2212,2023
4,4900000,4,0,2,75,4.0,3,3,1,0,0,0,0,179795.0,665688.0,34.0,2018,1830,2023
5,8590000,5,1,1,115,6.0,1,4,5,1,0,1,0,179887.0,666836.0,6.0,1950,1492,2023
6,3850000,6,1,1,137,13.0,6,4,12,1,0,1,0,181439.0,661858.0,14.0,2021,5082,2023
7,2100000,7,0,0,45,4.0,3,2,4,0,1,0,0,178778.0,661042.0,6.0,1999,2497,2023
8,8300000,8,3,1,160,12.0,6,5,10,0,1,0,1,180155.0,668698.0,11.0,2016,1073,2023
9,16000000,9,2,1,194,4.0,1,4,4,0,0,0,0,178218.0,663540.0,14.0,2022,934,2023
10,12500000,10,1,1,230,5.0,1,5,1,1,0,0,0,180141.0,666238.0,9.0,2023,1997,2023
11,9690000,5,1,0,234,4.0,1,6,0,1,0,0,1,180214.0,666556.0,8.0,2021,1955,2023
12,14900000,11,1,2,172,6.0,1,5,6,1,1,1,1,178669.0,666237.0,17.0,2022,395,2023
13,5850000,12,1,1,122,6.0,3,4,2,1,0,1,1,180265.0,669424.0,15.0,2008,916,2023
14,3650000,6,1,0,116,13.0,6,4,6,1,0,1,0,181439.0,661858.0,14.0,2021,5082,2023
15,5150000,13,1,1,120,8.0,6,4,7,1,0,1,0,184431.0,670550.0,49.0,2015,5024,2023
16,4500000,10,1,0,89,8.0,3,3,1,0,0,0,0,180527.0,665690.0,8.0,2023,2627,2023
17,7105000,14,1,1,77,5.0,1,3,1,0,0,1,0,178283.0,664379.0,38.0,2007,684,2023
18,3500000,15,0,1,137,9.0,2,3,9,0,1,1,0,176959.0,660109.0,24.0,1969,874,2023
19,4550000,16,1,0,130,4.0,5,5,1,0,1,1,0,183155.0,669592.0,7.0,1981,4000,2023
20,4225000,14,0,0,50,6.0,2,2,1,0,0,1,0,178097.0,664126.0,13.0,2005,578,2023
21,3700000,17,0,2,52,4.0,3,2,1,0,0,0,0,179178.0,665044.0,1.0,1980,1404,2023
22,7150000,18,1,1,142,8.0,3,5,6,0,1,1,1,180923.0,670412.0,3.0,1988,1255,2023
23,3900000,19,0,2,100,5.0,2,3,5,1,0,1,1,178932.0,664547.0,2.0,1970,1326,2023
24,9800000,10,1,1,150,16.0,2,5,9,0,1,1,0,180317.0,666451.0,52.0,2008,2108,2023
25,5150000,9,0,2,74,4.0,1,3,1,0,0,0,1,178218.0,663540.0,14.0,2022,934,2023
26,6050000,11,0,1,97,6.0,1,3,4,0,0,0,0,179109.0,665774.0,12.0,1968,1050,2023
27,3695000,11,0,0,61,6.0,1,2,1,0,0,0,0,179109.0,665774.0,12.0,1968,1050,2023
28,4300000,11,0,1,64,6.0,1,3,2,0,0,0,0,179109.0,665774.0,12.0,1968,1050,2023
29,4400000,20,1,1,110,5.0,2,4,4,0,0,1,0,184174.0,670271.0,35.0,2019,4851,2023
30,3800000,21,0,0,110,2.0,3,4,1,1,0,0,0,179473.0,662066.0,6.0,1950,2862,2023
31,6100000,17,0,1,103,5.0,6,4,4,1,0,1,0,178396.0,665151.0,14.0,1990,512,2023
32,8200000,11,2,1,150,3.0,3,3,3,0,1,0,0,178769.0,666529.0,25.0,2018,393,2023
33,3400000,22,0,0,81,3.0,3,4,2,0,0,0,0,179053.0,662930.0,37.0,1983,2076,2023
34,4000000,23,3,0,75,4.0,3,3,1,0,1,1,0,183384.0,669267.0,19.0,1972,4373,2023
35,5700000,17,0,1,95,3.0,2,3,1,0,1,0,0,179492.0,664912.0,47.0,1994,1796,2023
36,2350000,15,0,0,55,4.0,2,3,4,0,0,0,1,176854.0,659931.0,3.0,1970,828,2023
37,4100000,24,0,2,75,6.0,2,3,3,0,1,1,0,180748.0,667018.0,130.0,1987,2360,2023
